japanese,reading,lesson,english,thai,thai_katakana
おはよう（ございます）,おはようございます,入門1課,Good morning.,อรุณสวัสดิ์ สวัสดีตอนเช้ำ,
こんにちは,こんにちはこんにちは,入門1課,Good afternoon.,สวัสดีตอนกลำงวัน,
こんばんは,こんばんはこんばんは,入門1課,Good evening.,สวัสดีตอนเย็น,
じゃあ、また,じゃあ、また,入門1課,See you later.,แล้วพบกันใหม่,
おやすみ（なさい）,おやすみなさい,入門1課,Good night. ,รำตรีสวัสดิ์,
失礼します,しつれいします,入門1課,Goodbye.,ลำก่อน,
お先に失礼します,おさきにしつれいします,入門1課,Goodbye. (I'll take my leave before you.),ขออนุญำตกลับก่อน,
お疲れさま（でした）,おつかれさまでした,入門1課,Goodbye. (Thank you for your hard work.),ลำก่อน (ใช้พูดขอบคุณเมื่อทำงำนเสร็จ),
これ,これ,入門1課,this,อันนี้,
あめ,あめ,入門1課,candy,ลูกกวำด ลูกอม,
プレゼント,ぷれぜんと,入門1課,present,ของขวัญ,
ありがとうございます,ありがとうございます,入門1課,Thank you.,ขอบคุณ,
すみません,すいません,入門1課,Thank you.,ขอบคุณ,
（どうも）ありがとう,どうもありがとう,入門1課,Thank you very much.,ขอบคุณมำก,
どうも,どうも,入門1課,Thanks.,ขอบใจ,
落としましたよ,おとしましたよ,入門1課,You dropped this.,คุณทำของตกแน่ะ,
どうぞ,どうぞ,入門1課,Here you go.,เชิญ,
いいえ,いいえ,入門1課,You're welcome.,ไม่เป็นไร,
わあ,わあ,入門1課,Oh! (expresses surprise),โอ (แสดงควำมประหลำดใจ),
すみません,すみません,入門1課,I'm sorry.,ขอโทษ,
ごめん,ごめん,入門1課,Sorry.,ขอโทษ,
痛い！,いたい,入門1課,Ouch！,เจ็บ!,
おめでとうございます,おめでとうございます,入門1課,Congratulations.,ขอแสดงควำมยินดี,
わかりました,わかりました,入門1課,I understand.,เข้ำใจแล้ว,
よく,よく,入門2課,(not) really,ไม่ค่อย,
もういちど,もういちど,入門2課,once more,อีกครั้ง,
もう少し,もうすこし,入門2課,a little.,อีกหน่อย,
ゆっくり,ゆっくり,入門2課,slowly,ช้ำๆ,
在留カード,ざいりゅうかーど,入門2課,residence card,บัตรประจำตัวผู้พำนัก,
ここ,ここ,入門2課,here,ที่นี่ ตรงนี้,
名前,なまえ,入門2課,name,ชื่อ,
部屋,へや,入門2課,room,ห้อง,
わかりません,わかりません,入門2課,I do not understand.,ไม่เข้ำใจ,
お願いします,おねがいします,入門2課,Please. ,ขอควำมกรุณำ,
言ってください,いってください,入門2課,Please say ～.,พูดตำมนะ,
見せてください,みせてください,入門2課,Please show me ～.,ขอดูหน่อย,
書いてください,かいてください,入門2課,Please write ～.,เขียนนะ,
わかりました,わかりました,入門2課,I understand.,เข้ำใจแล้ว,
0,ぜろ,入門2課,zero,ศูนย์,
1,いち,入門2課,one,หนึ่ง,
2,に,入門2課,two,สอง,
3,さん,入門2課,three,สำม,
4,よん,入門2課,four,สี่,
5,ご,入門2課,five,ห้ำ,
6,ろく,入門2課,six,หก,
7,なな,入門2課,seven,เจ็ด,
8,はち,入門2課,eight,แปด,
9,きゅう,入門2課,nine,เก้ำ,
10,じゅう,入門2課,ten,สิบ,
日本語,にほんご,入門2課,Japanese language,ภำษำญี่ปุ่น,
英語,えいご,入門2課,English language,ภำษำอังกฤษ,
中国語,ちゅうごくご,入門2課,Chinese language,ภำษำจีน,
インドネシア語,いんどねしあご,入門2課,Indonesian language,ภำษำอินโดนีเซีย,
はい,はい,入門2課,yes,ค่ะ/ครับ,
少し,すこし,入門2課,a little / a few,นิดหน่อย เล็กน้อย,
お客さん,おきゃくさん,入門2課,customer (used to address a customer if their name isn't known),คุณลูกค้ำ (ใช้เรียกลูกค้ำ ในกรณีที่ไม่ทรำบชื่อ),
わかりますか？,わかりますか,入門2課,Do you understand?,เข้ำใจไหม,
できますか？,できますか,入門2課,Can you speak it?,พูดได้ไหม,
できます,できますか,入門2課,I can speak / understand it.,พูดได้ เข้ำใจ,
わかります,わかりますか,入門2課,I understand.,เข้ำใจ,
はい、どうぞ,はい、どうぞ,入門2課,Here you go.,เชิญรับประทำนค่ะ/ครับ,
じゃあ,じゃあ,入門2課,Well then…,งั้น,
あのう,あのう,入門2課,Um… (used when the speaker wants to start talking to someone),เอ่อ (สำนวนที่ใช้เวลำ จะเอ่ยปำกพูดกับคนอื่น),
日本語で,にほんごで,入門2課,in Japanese,ด้วยภำษำญี่ปุ่น,
何,なに,入門2課,what,อะไร,
消しゴム,けしごむ,入門2課,eraser,ยำงลบ,
傘,かさ,入門2課,umbrella,ร่ม,
スマホ,すまほ,入門2課,smartphone,สมำร์ทโฟน,
免許証,めんきょしょう,入門2課,license,ใบขับขี่,
蚊,か,入門2課,mosquito,ยุง,
何ですか？,なんですか,入門2課,What is it?,คืออะไร,
何と言いますか？,なんといいますか,入門2課,What do you call it?,พูดว่ำอย่ำงไร,
え？,え,入門2課,Huh? / What? / Pardon?,อะไรนะ,
そうそう,そうそう,入門2課,That's right.,ใช่ๆ,
ミャンマー,みゃんまー,入門3課,Myanmar,เมียนมำร์,
韓国,かんこく,入門3課,South Korea,เกำหลีใต้,
タイ,たい,入門3課,Thailand,ไทย,
ブラジル,ぶらじる,入門3課,Brazil,บรำซิล,
～から来ました,～からきました,入門3課,came　from ～,มำจำก,
来る／来ます,くる／きます,入門3課,to come,มำ,
私,わたし,入門3課,I / myself,ฉัน ตัวเอง,
はじめまして,はじめまして,入門3課,Hello. (said when meeting someone for the first time),สวัสดี ยินดีที่ได้รู้จัก (พูดทักทำยเมื่อได้พบกับคนอื่น ในครั้งแรก),
（どうぞ）よろしくお願いします,（どうぞ）よろしくおねがいします,入門3課,Nice to meet you.,ยินดีที่ได้รู้จัก,
インドネシア,いんどねしあ,入門3課,Indonesia,อินโดนีเซีย,
名前／お名前 ,なまえ／おなまえ,入門3課,name,ชื่อ / ชื่อของคุณ,
出身／ご出身,しゅっしん／ごしゅっしん,入門3課,hometown / (your) hometown,ประเทศหรือเมืองที่เป็นบ้ำนเกิด (ของคุณ),
ベトナム,べとなむ,入門3課,Vietnam,เวียดนำม,
ハノイ,はのい,入門3課,Hanoi,ฮำนอย,
国／お国,くに／おくに,入門3課,country /  (your) country,ประเทศ / ประเทศของคุณ,
どちら,どちら,入門3課,where (polite expression),ที่ไหน (คำถำมแบบสุภำพ),
フエ,ふえ,入門3課,Hue,เว้,
カンボジア,かんぼじあ,入門3課,Cambodia,กัมพูชำ,
みなさん,みなさん,入門3課,all of you,ทุกคน พวกคุณ,
友だち,ともだち,入門3課,friend,เพื่อน,
同じ,おなじ,入門3課,same,เดียวกัน เหมือนกัน,
会社,かいしゃ,入門3課,company,บริษัท,
えーと,えーと,入門3課,Er… (expresses that the speaker is thinking),เอ่อ (สำนวนที่แสดงว่ำผู้พูด กำลังคิดอยู่),
そうですか,そうですか,入門3課,I see. (indicates that the speaker has understood what the other person is saying),งั้นหรือ (เป็นคำพูดแสดงกำรรับรู้ สิ่งที่คู่สนทนำพูด),
どちらからですか？,どちらからですか？,入門3課,Where are you from?,มำจำกประเทศไหน,
～からですか？,～からですか？,入門3課,Are you from ～?,คุณมำจำก...หรือ,
国籍,こくせき,入門3課,nationality,สัญชำติ,
生年月日,せいねんがっぴ,入門3課,date of birth,วันเดือนปีเกิด,
西暦,せいれき,入門3課,Gregorian calendar,คริสตศักรำช,
～年,～ねん,入門3課,year,ปี...,
～月　（12月）,～がつ　（じゅうにがつ）,入門3課,month of the year　(e.g. 12th month = December),เดือน... (เช่น เดือน 12 คือ เดือนธันวำคม),
～日,～にち,入門3課,day of the month,วันที่...,
住所,じゅうしょ,入門3課,address,ที่อยู่,
電話番号,でんわばんごう,入門3課,telephone number,หมำยเลขโทรศัพท์,
メール,めーる,入門3課,email,อีเมล,
申込書,もうしこみしょ,入門3課,application form,ใบสมัคร,
父,ちち,入門4課,(my) father,พ่อ (ของฉัน),
母,はは,入門4課,(my) mother,แม่ (ของฉัน),
兄,あに,入門4課,(my) elder brother,พี่ชำย (ของฉัน),
姉,あね,入門4課,(my) elder sister,พี่สำว (ของฉัน),
弟,おとうと,入門4課,(my) younger brother,น้องชำย (ของฉัน),
妹,いもうと,入門4課,(my) younger sister,น้องสำว (ของฉัน),
夫,おっと,入門4課,(my) husband,สำมี (ของฉัน),
妻,つま,入門4課,(my) wife,ภรรยำ (ของฉัน),
子ども,こども,入門4課,child,ลูก,
～先生,～せんせい,入門4課,～ sensee (suffix for teacher),อำจำรย์... (คำเสริมท้ำยสำหรับเรียกครู),
紹介する,しょうかいする,入門4課,to introduce,แนะนำให้รู้จัก,
こちら,こちら,入門4課,this is (used when introducing someone),ท่ำนนี้ (ใช้ตอนแนะนำใครคนหนึ่ง),
あれ？,あれ？,入門4課,Oh? (expresses surprise),อ้ำว เอ๊ะ (คำอุทำนเมื่อเกิด เหตุกำรณ์ไม่คำดคิด),
紹介します,しょうかいします,入門4課,I will introduce you.,จะแนะนำให้รู้จัก,
（どうぞ）よろしく,（どうぞ）よろしく,入門4課,I look forward to getting to know you.,ฝำกเนื้อฝำกตัวด้วย,
うちの,うちの,入門4課,my / our,ของฉัน ของเรำ,
家族／ご家族,かぞく／ごかぞく,入門4課,family / (your) family,ครอบครัว / ครอบครัวของคุณ,
それから,それから,入門4課,and then,แล้วก็,
何歳,なんさい,入門4課,how old,อำยุเท่ำไร,
いくつ,いくつ,入門4課,how old (asking age),อำยุเท่ำไร กี่ขวบ (เวลำถำมอำยุ),
～歳,～さい,入門4課,～ years old,(อำยุ)...ปี,
どこ,どこ,入門4課,where,ที่ไหน,
住んでいます,すんでいます,入門4課,live,อำศัยอยู่,
住む,すむ,入門4課,to live,อยู่อำศัย,
フィリピン,ふぃりぴん,入門4課,the Philippines,ฟิลิปปินส์,
そう,そう,入門4課,I see. (a casual way of saying そうですか),งั้นหรือ (เป็นวิธีพูด そうですかแบบเป็นกันเอง),
11,じゅういち,入門4課,eleven,สิบเอ็ด,
12,じゅうに,入門4課,twelve,สิบสอง,
13,じゅうさん,入門4課,thirteen,สิบสำม,
14,じゅうよん,入門4課,fourteen,สิบสี่,
15,じゅうご,入門4課,fifteen,สิบห้ำ,
16,じゅうろく,入門4課,sixteen,สิบหก,
17,じゅうなな,入門4課,seventeen,สิบเจ็ด,
18,じゅうはち,入門4課,eighteen,สิบแปด,
19,じゅうきゅう,入門4課,nineteen,สิบเก้ำ,
20,にじゅう,入門4課,twenty,ยี่สิบ,
30,さんじゅう,入門4課,thirty,สำมสิบ,
40,よんじゅう,入門4課,forty,สี่สิบ,
50,ごじゅう,入門4課,fifty,ห้ำสิบ,
60,ろくじゅう,入門4課,sixty,หกสิบ,
70,ななじゅう,入門4課,seventy,เจ็ดสิบ,
80,はちじゅう,入門4課,eighty,เจ็ดสิบ,
90,きゅうじゅう,入門4課,ninety,เก้ำสิบ,
20歳,にじゅっさい／はたち,入門4課,twenty years old,อำยุยี่สิบปี,
恋人,こいびと,入門4課,boyfriend / girlfriend,แฟน คู่รัก,
ペット,ぺっと,入門4課,pet,สัตว์เลี้ยง,
だれ,だれ,入門4課,who,ใคร,
犬,いぬ,入門4課,dog,สุนัข,
おじいさん,おじいさん,入門4課,old male ,แก่แล้ว (วัยคุณตำแล้ว),
日本,にほん,入門4課,Japan,ญี่ปุ่น,
東京,とうきょう,入門4課,Tokyo,โตเกียว,
へー,へー,入門4課,Oh. (expresses slight interest),เอ๋ (แสดงควำมสนใจเล็กน้อย),
かわいいですね,かわいいですね,入門4課,How cute!,น่ำรักนะ,
誕生日,たんじょうび,入門4課,birthday,วันเกิด,
海,うみ,入門4課,sea / ocean,ทะเล,
天気／お天気,てんき／おてんき,入門4課,weather,อำกำศ,
最高,さいこう,入門4課,fantastic,ยอดเยี่ยม,
ツーショット,つーしょっと,入門4課,a photograph of two people,กำรถ่ำยรูปคู่,
魚,さかな,入門5課,fish,ปลำ,
肉,にく,入門5課,meat,เนื้อสัตว์,
野菜,やさい,入門5課,vegetable,ผัก,
好きです,すきです,入門5課,I like it.,ชอบ,
刺身,さしみ,入門5課,sashimi (sliced raw fish),ปลำดิบ ซำชิมิ,
すし,すし,入門5課,sushi,ซูชิ,
天ぷら,てんぷら,入門5課,tempura,เทมปุระ,
牛丼,ぎゅうどん,入門5課,beef bowl,ข้ำวหน้ำเนื้อ,
カレー,かれー,入門5課,curry ,ข้ำวแกงกะหรี่,
ラーメン,らーめん,入門5課,ramen noodles,รำเม็ง,
うどん,うどん,入門5課,udon noodles,อุด้ง,
そば,そば,入門5課,soba noodles,โซบะ,
納豆,なっとう,入門5課,natto (fermented soybeans),นัตโต (ถั่วหมักสไตล์ญี่ปุ่น),
梅干し,うめぼし,入門5課,umeboshi (pickled plum),บ๊วยดอง (สไตล์ญี่ปุ่น),
わさび,わさび,入門5課,wasabi (Japanese horseradish),วะซะบิ,
食べ物,たべもの,入門5課,food,อำหำร,
何,なに,入門5課,what,อะไร,
すごい！,すごい！,入門5課,Wow!,เยี่ยมไปเลย!,
～はちょっと…,～はちょっと…,入門5課,I don't really like ～.,ไม่ค่อยชอบ,
だいじょうぶですか？,だいじょうぶですか？,入門5課,Is it okay?,(กิน) ได้ไหม,
コーヒー,こーひー,入門5課,coffee,กำแฟ,
紅茶,こうちゃ,入門5課,black tea,ชำดำ,
お茶,おちゃ,入門5課,tea / Japanese tea,น้ำชำ ชำญี่ปุ่น,
水,みず,入門5課,water ,น้ำเปล่ำ,
ジュース,じゅーす,入門5課,juice,น้ำผลไม้,
コーラ,こーら,入門5課,cola,โค้ก โคล่ำ,
ビール,びーる,入門5課,beer,เบียร์,
お酒,おさけ,入門5課,alcohol / sake,แอลกอฮอล์ เหล้ำสำเก,
飲む／飲みます,のむ／のみます,入門5課,to drink,ดื่ม,
いえ／いいえ,いえ／いいえ,入門5課,no,ไม่,
はい、お願いします,はい、おねがいします,入門5課,"Yes, please.","ใช่, ฝำกด้วย",
いえ、けっこうです,いえ、けっこうです,入門5課,"No, thank you.","ไม่, ขอบคุณ",
～お願いします,～おねがいします,入門5課,～ please.,กรุณำด้วย,
ご飯,ごはん,入門5課,cooked rice,ข้ำวสวย,
パン,ぱん,入門5課,bread,ขนมปัง,
卵,たまご,入門5課,egg,ไข่,
ヨーグルト,よーぐると,入門5課,yoghurt,โยเกิร์ต,
シリアル,しりある,入門5課,cereal,ซีเรียล,
果物,くだもの,入門5課,fruit,ผลไม้,
サラダ,さらだ,入門5課,salad,สลัด,
みそ汁,みそしる,入門5課,miso soup,ซุปมิโสะ,
スープ,すーぷ,入門5課,soup,ซุป,
牛乳,ぎゅうにゅう,入門5課,milk,นมวัว,
トマトジュース,とまとじゅーす,入門5課,tomato juice,น้ำมะเขือเทศ,
オレンジジュース,おれんじじゅーす,入門5課,orange juice,น้ำส้ม,
りんごジュース,りんごじゅーす,入門5課,apple juice,น้ำแอปเปิ้ล,
食べる／食べます,たべる／たべます,入門5課,to eat,กิน ทำน รับประทำน,
朝ご飯,あさごはん,入門5課,breakfast,อำหำรเช้ำ,
いつも,いつも,入門5課,always,เสมอ เป็นประจำ,
よく,よく,入門5課,often,บ่อย,
あまり,あまり,入門5課,rarely,ไม่ค่อย,
え～！,え～！,入門5課,Huh?! (expresses surprise),ว่ำไงนะ! (แสดงอำกำรตกใจ),
今日,きょう,入門5課,today,วันนี้,
いただきます,いただきます,入門5課,Thank you for the food ! (polite expression said before a meal),กินละนะ (คำพูดก่อนกินอำหำร),
ハンバーガー,はんばーがー,入門6課,hamburger,แฮมเบอร์เกอร์,
～バーガー　（ダブルバーガー）,～ばーがー  （だぶるばーがー）,入門6課,～ burger　(e.g. double burger),...เบอร์เกอร์(เช่น ดับเบิ้ลเบอร์เกอร์ ),
ダブル,だぶる,入門6課,double,ดับเบิ้ล,
チーズ,ちーず,入門6課,cheese,ชีส เนยแข็ง,
てりやき,てりやき,入門6課,teriyaki,เทริยำกิ,
チキン,ちきん,入門6課,chicken,เนื้อไก่,
フィッシュ,ふぃっしゅ,入門6課,fish,ปลำ,
単品,たんぴん,入門6課,single item,รำยกำรเดียว,
セット,せっと,入門6課,set,เซต เป็นชุด,
フライドポテト,ふらいどぽてと,入門6課,French fries / fried potatoes,เฟรนช์ฟรำยส์ มันฝรั่งทอด,
S,えす,入門6課,small,(ไซส์) S,
M,えむ,入門6課,medium,(ไซส์) M,
L,える,入門6課,large,(ไซส์) L,
デザート,でざーと,入門6課,dessert,ของหวำน,
アイスクリーム,あいすくりーむ,入門6課,ice cream,ไอศกรีม,
アップルパイ,あっぷるぱい,入門6課,apple pie,พำยแอปเปิ้ล,
ドリンク,どりんく,入門6課,drink,เครื่องดื่ม,
ホットコーヒー,ほっとこーひー,入門6課,hot coffee,กำแฟร้อน,
アイスコーヒー,あいすこーひー,入門6課,iced coffee,กำแฟเย็น,
ウーロン茶,うーろんちゃ,入門6課,oolong tea,ชำอูหลง,
コカコーラ,こかこーら,入門6課,Coca-Cola,โคคำ-โคล่ำ โค้ก,
サイズ,さいず,入門6課,size,ขนำด ไซส์,
～ください,～ください,入門6課,Give me ～.,ขอเป็น...,
テイクアウトで,ていくあうとで,入門6課,"To takeout, please.",สั่งกลับบ้ำน,
ここで,ここで,入門6課,"Eat in, please.",(กิน) ที่นี่,
いらっしゃいませ,いらっしゃいませ,入門6課,Welcome.,ยินดีต้อนรับ,
おうかがいします,おうかがいします,入門6課,Can I take your order? (polite expression),จะรับอะไรดี,
こちらでおめしあがりですか？,こちらでおめしあがりですか？,入門6課,Would you like to eat in? (polite expression),จะรับประทำนที่นี่หรือเปล่ำ,
お持ち帰りですね,おもちかえりですね,入門6課,"That's to take out, right? (polite expression)",สั่งกลับบ้ำนใช่ไหม,
何になさいますか？,なにになさいますか？,入門6課,What would you like? (polite expression),จะรับอะไรดี,
～にします,～にします,入門6課,I'll have ～.,ขอเป็น…,
うーん,うーん,入門6課,Well...　(expresses that the speaker is not sure and is thinking),อืม (เป็นวิธีกำรพูดที่ผู้พูด ไม่แน่ใจหรือกำลังคิดอยู่),
ここ、いいですか？,ここ、いいですか？,入門6課,Can I sit here?,นั่งตรงนี้ได้ไหม,
どうですか？,どうですか？,入門6課,How is it?,เป็นไงบ้ำง,
おいしいです,おいしいです,入門6課,It's delicious.,อร่อย,
刺身,さしみ,入門6課,sashimi (sliced raw fish),ซำชิมิ (ปลำดิบ),
唐揚げ,からあげ,入門6課,deep-fried,คำรำอำเงะ (ไก่ทอด),
焼き鳥／焼鳥,やきとり,入門6課,yakitori (grilled chicken),ยำกิโทริ (ไก่ย่ำง),
枝豆,えだまめ,入門6課,edamame (green soybeans in the pod),เอะดะมำเมะ (ถั่วแระญี่ปุ่น),
生ビール,なまびーる,入門6課,draft beer,ดรำฟท์เบียร์ เบียร์สด,
メニュー,めにゅー,入門6課,menu,เมนู,
お魚,おさかな,入門6課,fish,ปลำ,
盛り合わせ,もりあわせ,入門6課,assortment,เมนูอำหำรรวมหลำกหลำย ประเภท,
～点盛  （7点盛）,～てんもり　（ななてんもり）,入門6課,set of ～ items　(set of seven items),อำหำรรวมมิตร (เมนูที่ประกอบ ด้วยอำหำรต่ำงๆ 7 ประเภท),
焼魚,やきざかな,入門6課,grilled fish,ปลำย่ำง,
お肉,おにく,入門6課,meat,เนื้อสัตว์,
とり,とり,入門6課,chicken,เนื้อไก่,
サイコロステーキ,さいころすてーき,入門6課,diced steak,เนื้อสเต็กหั่นชิ้นลูกเต๋ำ,
特製つくね,とくせいつくね,入門6課,special tsukune (meatballs),ทสึคุเนะแบบพิเศษ (ลูกชิ้นเนื้อ),
馬刺,ばさし,入門6課,basashi (horse meat sashimi),บะซำชิ (ซำชิมิเนื้อม้ำ),
おつまみ,おつまみ,入門6課,snacks,กับแกล้ม,
冷奴,ひややっこ,入門6課,cold tofu,เต้ำหู้เย็น,
冷やしトマト,ひやしとまと,入門6課,chilled tomatoes,มะเขือเทศแช่เย็น,
たこわさ,たこわさ,入門6課,takowasa (raw octopus seasoned with wasabi),ทำโกะวะซะ (ปลำหมึกยักษ์สด ปรุงรสกับวำซำบิ),
しおから,しおから,入門6課,shiokara (pickled seafood),ชิโอะกำระ (ทะเลหมัก),
日本酒,にほんしゅ,入門6課,sake (Japanese rice wine),สำเก (เหล้ำญี่ปุ่น),
焼酎,しょうちゅう,入門6課,shochu (Japanese distilled liquor),โชจู (เหล้ำกลั่นแบบญี่ปุ่น),
酎ハイ,ちゅうはい,入門6課,chu-hi (Japanese distilled liquor mixed with soda water),จูไฮ (เหล้ำกลั่นญี่ปุ่นผสมกับโซดำ),
レモンハイ,れもんはい,入門6課,lemon-flavored chu-hi,จูไฮรสมะนำว,
ウーロンハイ,うーろんはい,入門6課,oolong tea-flavored chu-hi,จูไฮรสอูหลง,
緑茶ハイ,りょくちゃはい,入門6課,green tea-flavored chu-hi,จูไฮรสชำเขียว,
カルピスハイ,かるぴすはい,入門6課,Calpis-flavored chu-hi,จูไฮรสคำลพิส,
ソフトドリンク,そふとどりんく,入門6課,soft drink,ซอฟท์ดริงก์ เครื่องดื่มไม่มีแอลกอฮอล์,
緑茶,りょくちゃ,入門6課,green tea,ชำเขียว,
カルピス,かるぴす,入門6課,Calpis,คำลพิส,
お問い合わせください,おといあわせください,入門6課,Please ask. (polite expression),กรุณำติดต่อสอบถำม,
あと,あと,入門6課,and / also,และ แล้วก็,
マヨネーズ,まよねーず,入門6課,mayonnaise,มำยองเนส,
ある／あります,ある／あります,入門6課,to have,มี,
すみません,すみません,入門6課,Excuse me. (used when the speaker wants to start talking to someone),ขอโทษ (สำนวนที่ใช้เวลำจะเอ่ย ปำกพูดกับคนอื่น),
お持ちします,おもちします,入門6課,I'll bring them to you. (polite expression used by staff),จะนำมำให้ (สำนวนสุภำพที่ พนักงำนในร้ำนใช้พูดกับลูกค้ำ),
1つ,ひとつ,入門6課,one (for thing),1 ชิ้น (สำหรับสิ่งของ),
2つ,ふたつ,入門6課,two (for things) ,2 ชิ้น (สำหรับสิ่งของ),
3つ,みっつ,入門6課,three (for things),3 ชิ้น (สำหรับสิ่งของ),
4つ,よっつ,入門6課,four (for things),4 ชิ้น (สำหรับสิ่งของ),
5つ,いつつ,入門6課,five (for things),5 ชิ้น (สำหรับสิ่งของ),
6つ,むっつ,入門6課,six (for things),6 ชิ้น (สำหรับสิ่งของ),
7つ,ななつ,入門6課,seven (for things),7 ชิ้น (สำหรับสิ่งของ),
8つ,やっつ,入門6課,eight (for things),8 ชิ้น (สำหรับสิ่งของ),
9つ,ここのつ,入門6課,nine (for things),9 ชิ้น (สำหรับสิ่งของ),
いくつ,いくつ,入門6課,how many (asking quantity),เท่ำไหร่ (ใช้สอบถำมจำนวน),
ケチャップ,けちゃっぷ,入門6課,ketchup,ซอสมะเขือเทศ,
スプーン,すぷーん,入門6課,spoon,ช้อน,
おしぼり,おしぼり,入門6課,wet hand towel,ผ้ำร้อนหรือผ้ำเย็น (ผ้ำเปียกสำหรับเช็ดมือ),
取り皿,とりざら,入門6課,individual plate,จำนแบ่ง,
グラス,ぐらす,入門6課,glass,แก้ว,
はし／おはし,はし／おはし,入門6課,chopsticks,ตะเกียบ,
居酒屋,いざかや,入門6課,izakaya (Japanese-style pub),อิซำกำยะ (ร้ำนเหล้ำแบบญี่ปุ่น),
すし,すし,入門6課,sushi,ซูชิ ข้ำวปั้น,
そば,そば,入門6課,soba noodles,โซบะ,
うどん,うどん,入門6課,udon noodles,อุด้ง,
ラーメン,らーめん,入門6課,ramen noodles,รำเม็ง,
カレー,かれー,入門6課,curry ,แกงกะหรี่ญี่ปุ่น,
牛丼,ぎゅうどん,入門6課,beef bowl,กิวด้ง ข้ำวหน้ำเนื้อ,
玄関,げんかん,入門7課,entrance,เกงคัง (ทำงเข้ำบ้ำนแบบญี่ปุ่น ),
お風呂,おふろ,入門7課,bathroom,ห้องอำบน้ำ,
トイレ,といれ,入門7課,toilet,ห้องน้ำ,
階段,かいだん,入門7課,stairs,บันได,
部屋,へや,入門7課,room,ห้อง,
ベランダ,べらんだ,入門7課,veranda,ระเบียง,
バルコニー,ばるこにー,入門7課,balcony,ดำดฟ้ำ,
台所,だいどころ,入門7課,kitchen,ห้องครัว,
キッチン,きっちん,入門7課,kitchen,ห้องครัว,
庭,にわ,入門7課,garden,สวน,
居間,いま,入門7課,living room,ห้องนั่งเล่น,
リビング,りびんぐ,入門7課,living room,ห้องนั่งเล่น,
1階,いっかい,入門7課,first floor,ชั้นหนึ่ง,
2階,にかい,入門7課,second floor,ชั้นสอง,
管理人室,かんりにんしつ,入門7課,building manager's office,ห้องคนดูแลอำคำร,
食堂,しょくどう,入門7課,cafeteria,โรงอำหำร,
入る／入ります,はいる／はいります,入門7課,to come in,เข้ำมำ,
くつ,くつ,入門7課,shoes,รองเท้ำ,
脱ぐ／脱ぎます,ぬぐ／ぬぎます,入門7課,to take off,ถอด (รองเท้ำ เสื้อผ้ำ),
ご飯,ごはん,入門7課,food　/　meal,อำหำร,
入ってください,はいってください,入門7課,Please come in.,เชิญเข้ำมำ,
脱いでください,ぬいでください,入門7課,Please take them off.,กรุณำถอด (รองเท้ำ),
お世話になります,おせわになります,入門7課,I'll be in your care. (polite expression used when meeting someone who will look after you),ขอให้คุณช่วยดูแลด้วย (สำนวน สุภำพที่ใช้พูดเมื่อพบกับคนที่ จะทำหน้ำที่ดูแลตน,
エアコン,えあこん,入門7課,air-conditioner,เครื่องปรับอำกำศ,
冷蔵庫,れいぞうこ,入門7課,refrigerator,ตู้เย็น,
電子レンジ,でんしれんじ,入門7課,microwave,ไมโครเวฟ,
炊飯器,すいはんき,入門7課,rice-cooker,หม้อหุงข้ำวไฟฟ้ำ,
トースター,とーすたー,入門7課,toaster,เครื่องปิ้งขนมปัง,
ベッド,べっど,入門7課,bed,เตียง,
ふとん,ふとん,入門7課,futon (Japanese bedding),ฟุตง (ฟูกญี่ปุ่น),
テーブル,てーぶる,入門7課,table,โต๊ะ,
いす,いす,入門7課,chair,เก้ำอี้,
洗濯機,せんたくき,入門7課,washing machine,เครื่องซักผ้ำ,
テレビ,てれび,入門7課,television,ทีวี โทรทัศน์,
Wi-Fi,わいふぁい,入門7課,Wi-Fi,Wi-Fi,
みんなで,みんなで,入門7課,with everybody,ร่วมกับคนอื่นๆ ร่วมกันทุกคน,
使う／使います,つかう／つかいます,入門7課,to use,ใช้,
ない,ない,入門7課,I don't / no (negative of ある),ไม่มี ไม่ (เป็นรูปปฎิเสธของ กริยำ ある ),
使ってください,つかってください,入門7課,Please use it.,กรุณำใช้,
広い,ひろい,入門7課,spacious,กว้ำง,
せまい,せまい,入門7課,cramped,แคบ,
大きい,おおきい,入門7課,large,ใหญ่,
小さい,ちいさい,入門7課,small,เล็ก,
新しい,あたらしい,入門7課,new,ใหม่,
古い,ふるい,入門7課,old,เก่ำ,
静か（な）,しずか（な）,入門7課,quiet,เงียบ,
うるさい,うるさい,入門7課,noisy,เสียงดัง,
きれい（な）,きれい（な）,入門7課,tidy,สะอำด เรียบร้อย,
きたない,きたない,入門7課,untidy,สกปรก รกรุงรัง,
家,いえ,入門7課,house,บ้ำน,
どう,どう,入門7課,how,อย่ำงไร,
ちょっと,ちょっと,入門7課,a little,...ไปหน่อย,
とても,とても,入門7課,very,มำก,
うち,うち,入門7課,home,บ้ำน,
近く,ちかく,入門7課,close,ที่ใกล้ๆ,
でも,でも,入門7課,but,แต่,
～区　（南区）,～く　（みなみく）,入門7課,～ Ward　(e.g. Minami Ward),เขต(ชื่อ) (เช่น เขตมินำมิ),
いいですね,いいですね,入門7課,That's nice.,ดีจังเลย,
どう？,どう？,入門7課,How is it? (a casual way of saying どうですか？),เป็นไงบ้ำง (เป็นวิธีพูด どうですか？แบบเป็นกันเอง),
